NodeID,Capacity,Delay,Cost,Function
0,8000,11,16.5,
1,8000,11,16.5,
2,8000,11,16.5,2
3,8000,11,16.5,
4,8000,11,16.5,
5,8000,11,16.5,
6,8000,11,16.5,5
7,8000,11,16.5,
8,8000,11,16.5,
9,8000,11,16.5,
10,8000,11,16.5,
11,8000,11,16.5,
12,8000,11,16.5,
13,8000,11,16.5,1
14,8000,11,16.5,5
15,8000,11,16.5,0
16,8000,11,16.5,
17,8000,11,16.5,
18,8000,11,16.5,2
19,8000,11,16.5,
20,8000,11,16.5,
21,8000,11,16.5,0|1
22,8000,11,16.5,
23,8000,11,16.5,
24,8000,11,16.5,
25,8000,11,16.5,
26,8000,11,16.5,
27,8000,11,16.5,
28,8000,11,16.5,1
29,8000,11,16.5,3
30,8000,11,16.5,3
31,8000,11,16.5,
32,8000,11,16.5,
33,8000,11,16.5,
34,8000,11,16.5,1
35,8000,11,16.5,
36,8000,11,16.5,3
37,8000,11,16.5,
38,8000,11,16.5,
39,8000,11,16.5,2
40,8000,11,16.5,
41,8000,11,16.5,
42,8000,11,16.5,
43,8000,11,16.5,
44,8000,11,16.5,
45,8000,11,16.5,
46,8000,11,16.5,
47,8000,11,16.5,
48,8000,11,16.5,
49,8000,11,16.5,
50,8000,11,16.5,
51,8000,11,16.5,
52,8000,11,16.5,2
53,8000,11,16.5,
54,8000,11,16.5,3
55,8000,11,16.5,
56,8000,11,16.5,
57,8000,11,16.5,3
58,8000,11,16.5,
59,8000,11,16.5,0
60,8000,11,16.5,
61,8000,11,16.5,
62,8000,11,16.5,
63,8000,11,16.5,
64,8000,11,16.5,
65,8000,11,16.5,
66,8000,11,16.5,
67,8000,11,16.5,
68,8000,11,16.5,3
69,8000,11,16.5,
70,8000,11,16.5,
71,8000,11,16.5,
72,8000,11,16.5,
73,8000,11,16.5,
74,8000,11,16.5,
75,8000,11,16.5,5
76,8000,11,16.5,2
77,8000,11,16.5,4
78,8000,11,16.5,
79,8000,11,16.5,
80,8000,11,16.5,2
81,8000,11,16.5,
82,8000,11,16.5,
83,8000,11,16.5,
84,8000,11,16.5,
85,8000,11,16.5,1|2|3
86,8000,11,16.5,1|4
87,8000,11,16.5,
88,8000,11,16.5,1
89,8000,11,16.5,
90,8000,11,16.5,0
91,8000,11,16.5,
92,8000,11,16.5,
93,8000,11,16.5,1|2
94,8000,11,16.5,4
95,8000,11,16.5,
96,8000,11,16.5,
97,8000,11,16.5,1
98,8000,11,16.5,5
99,8000,11,16.5,
100,8000,11,16.5,
101,8000,11,16.5,
102,8000,11,16.5,
103,8000,11,16.5,5
104,8000,11,16.5,4
105,8000,11,16.5,
106,8000,11,16.5,
107,8000,11,16.5,
108,8000,11,16.5,5
109,8000,11,16.5,3
110,8000,11,16.5,
111,8000,11,16.5,
112,8000,11,16.5,
113,8000,11,16.5,
114,8000,11,16.5,
115,8000,11,16.5,
116,8000,11,16.5,
117,8000,11,16.5,
118,8000,11,16.5,
119,8000,11,16.5,
120,8000,11,16.5,
