NodeID,Capacity,Delay,Cost,Function
0,8000,0.1044701849451993,11,
1,8000,0.13244635039095637,12,3
2,8000,0.1658623350647918,13,
3,8000,0.1355515973362227,8,
4,8000,0.21044982427435188,18,
5,8000,0.1672934359473338,1,
6,8000,0.19397086860211316,15,0|2
7,8000,0.23288973122570278,8,1
8,8000,0.18722427781736156,11,1
9,8000,0.1945665358384936,12,
10,8000,0.18893692834327352,12,
11,8000,0.1415870196175788,4,5
12,8000,0.13104894263733913,16,
13,8000,0.27441008627197816,4,
14,8000,0.19992658168486105,5,
15,8000,0.1073100546434869,5,
16,8000,0.17205316295147977,8,
17,8000,0.12923886272663307,10,
18,8000,0.283091415058768,17,
19,8000,0.04692126259918906,9,
20,8000,0.10245986341669469,19,
21,8000,0.1381659890168847,14,
22,8000,0.16939149920622817,8,1
23,8000,0.2619584670482173,9,1|4
24,8000,0.06741134425773669,11,5
25,8000,0.25049554611899155,1,
26,8000,0.05919163978602871,14,0|4
27,8000,0.2597900790010363,5,
28,8000,0.05816704685800077,14,0
29,8000,0.049651832764232066,4,
30,8000,0.22272517290343752,1,
31,8000,0.29930016136594056,19,
32,8000,0.2736356170583753,8,
33,8000,0.1918795965404433,15,
34,8000,0.2789358813368106,15,
35,8000,0.04635150163138938,9,0
36,8000,0.29364212655101135,9,
37,8000,0.17014093871099006,10,
38,8000,0.22933850463855282,9,
39,8000,0.2543196756541049,3,4
40,8000,0.22820660406332116,11,3
41,8000,0.18143436667145219,6,
42,8000,0.16653796845223506,2,
43,8000,0.2588385524691693,7,
44,8000,0.09729477783811208,18,
45,8000,0.2918384869585797,2,
46,8000,0.22629288210337084,17,
47,8000,0.09587426647127154,11,
48,8000,0.2327430318431145,12,
49,8000,0.18010920591118473,19,
50,8000,0.22534367438933334,7,2
51,8000,0.2407837728679239,6,
52,8000,0.06725899579536723,1,
53,8000,0.1740565088716335,17,
54,8000,0.28266365727551823,11,
55,8000,0.12676375900067616,18,1|4
56,8000,0.1964401898772642,17,3
57,8000,0.1391537727850235,7,0
58,8000,0.1608383329158704,17,
59,8000,0.18489379507422904,9,2
60,8000,0.18497510487168922,17,
61,8000,0.09644126789421015,8,
62,8000,0.21956574470935752,17,0
63,8000,0.06740636836687748,7,
64,8000,0.08040031722771519,1,
65,8000,0.04569127935065406,13,
66,8000,0.07475749635612874,19,
67,8000,0.1656573812682325,19,5
68,8000,0.19955597966923883,17,
69,8000,0.2475438097414479,13,
70,8000,0.0722083087789262,16,0
71,8000,0.26193550230419593,8,3|4
72,8000,0.23522350401492315,19,
73,8000,0.1491721646986588,18,
74,8000,0.28289920711048844,1,
75,8000,0.2976870164966346,14,
76,8000,0.0972754615635755,19,
77,8000,0.1417032891657691,15,
78,8000,0.28124460301537635,18,
79,8000,0.22900712044157567,2,
80,8000,0.05726413421084236,17,
81,8000,0.2442861928466108,18,
82,8000,0.25612492623026045,6,
83,8000,0.23637799081515493,19,
84,8000,0.24888196838447646,4,
85,8000,0.2554088325566633,1,
86,8000,0.09253327163097674,8,4
87,8000,0.10510139524657494,7,3
88,8000,0.20660843374864518,3,5
89,8000,0.2765058632679416,10,
90,8000,0.12563012848560612,10,
91,8000,0.19501820232773948,19,5
92,8000,0.21916042617136877,14,
93,8000,0.16024689333125502,2,
94,8000,0.22701452598810812,1,
95,8000,0.27441519854950414,18,
96,8000,0.2041458937663686,7,
97,8000,0.18264417078823142,8,4
98,8000,0.15687989222402646,1,
99,8000,0.19225899908106203,3,
100,8000,0.13561742521369097,8,
101,8000,0.144827938101383,15,
102,8000,0.18062365732048435,5,
103,8000,0.06198787365965833,3,
104,8000,0.10340147468582306,19,
105,8000,0.18342657420641928,1,
106,8000,0.15503967649979286,15,
107,8000,0.1298680254076835,8,2
108,8000,0.23129002988637187,2,1|3
109,8000,0.2218979898878513,3,
110,8000,0.0875163437983127,14,
111,8000,0.26905042442022675,14,
112,8000,0.17133302473301126,11,
113,8000,0.2340725323404566,16,
114,8000,0.1911534665606341,4,3
115,8000,0.29941161706058,5,
116,8000,0.2368627956098998,14,
117,8000,0.22528001761708205,16,5
118,8000,0.24353584445794152,18,
119,8000,0.08149763631485975,7,
120,8000,0.09715887125821313,10,
121,8000,0.22708634096702163,7,
122,8000,0.17096527921836996,1,
123,8000,0.23743199942432974,19,
124,8000,0.07124358783975698,16,
125,8000,0.18180274462857166,19,
126,8000,0.1415994992170135,4,
127,8000,0.16153505591682799,18,
128,8000,0.19900925737849068,2,
129,8000,0.17308352860294518,1,2
130,8000,0.18266446246377338,15,
131,8000,0.16902115790888,5,
132,8000,0.14928357015680077,11,
133,8000,0.24182990505255247,10,
134,8000,0.04811178344110135,2,
135,8000,0.1976028888073329,3,
136,8000,0.1892046285673583,12,
137,8000,0.22762566405690282,5,5
138,8000,0.19775248801821826,5,
139,8000,0.255833701091315,6,1|2
140,8000,0.2895640726138271,9,
141,8000,0.13234368558052856,2,
142,8000,0.10297450067264668,12,
143,8000,0.15301719991722312,3,2
144,8000,0.11842205220131016,12,
